iteration,trainLoss,trainRMSE-avg
0,66088.35,257.07
10,26953.123,163.3
20,22428.744,148.86
30,20321.541,142.04
40,19043.82,137.7
50,17664.064,132.68
60,16359.848,127.69
70,15540.193,124.46
80,14759.067,121.24
90,14391.934,119.69
100,13806.638,117.25
110,13641.684,116.5
120,13688.37,116.83
130,13601.581,116.44
140,13079.008,114.1
150,13047.407,114.03
160,12582.573,112.02
170,12453.161,111.44
180,11628.586,107.69
190,12030.889,109.51
200,11050.347,104.98
210,10972.675,104.64
220,10917.762,104.37
230,10584.308,102.8
240,10511.568,102.45
250,10126.21,100.55
260,10503.742,102.33
270,10085.395,100.37
280,9549.369,97.64
290,10142.326,100.65
300,9622.879,98.05
310,9227.858,96.03
320,9346.612,96.63
330,8693.247,93.2
340,9255.696,96.15
350,8565.871,92.52
360,8720.5205,93.31
370,8406.549,91.63
380,8605.773,92.72
390,8281.233,90.98
400,7979.7705,89.3
410,7925.242,89.0
420,8256.85,90.78
430,8047.3125,89.68
440,7518.6016,86.67
450,7739.5664,87.92
460,7728.5903,87.88
470,7586.2466,87.06
480,7040.5347,83.87
490,6859.4907,82.8
500,6783.2437,82.35
510,6459.65,80.35
520,6542.276,80.87
530,6605.826,81.26
540,6364.6865,79.76
550,6769.3213,82.18
560,6458.5728,80.34
570,6552.6636,80.85
580,6102.113,78.1
590,6017.2676,77.55
600,6288.2847,79.27
610,5901.824,76.81
620,6014.8716,77.53
630,5789.651,76.08
640,6080.754,77.93
650,5728.2144,75.66
660,5785.4116,76.01
670,5679.476,75.29
680,5326.007,72.95
690,5414.918,73.57
700,4838.339,69.53
710,6180.4375,78.3
720,4928.2285,70.18
730,4724.8354,68.72
740,4596.2646,67.77
750,4894.817,69.94
760,4787.1323,69.17
770,4566.354,67.55
780,4727.063,68.72
790,4768.7812,69.0
800,4505.8013,67.09
810,4948.9927,70.31
820,4599.2563,67.8
830,4609.995,67.88
840,4313.731,65.65
850,4158.4844,64.46
860,4156.6846,64.45
870,4189.5845,64.68
880,4656.2256,68.14
890,4515.176,67.12
900,4082.848,63.86
910,3932.6394,62.66
920,4029.825,63.45
930,3983.2449,63.07
940,3805.4258,61.66
950,3742.0347,61.11
960,4062.6614,63.68
970,4206.561,64.8
980,3979.9102,63.06
990,3695.291,60.74
