0,trainLoss,trainRMSE-avg,testRMSE-avg
1,167025.17,178.2382,183.5597
2,103878.34,178.2585,183.5629
3,84962.75,178.266,183.5792
4,80888.96,178.2645,183.6076
5,79805.27,178.2533,183.6445
6,79457.05,178.2536,183.6489
7,79318.67,178.2497,183.652
8,79245.28,178.2531,183.6904
9,79193.02,178.2555,183.7153
