iteration,trainRMSE
0,"[378.83334995670486, 379.1244157943639, 379.7395651363596, 379.9550415906285, 380.1294873144885, 380.263995177743, 380.39348543555457, 380.5325423538277, 380.6095761559833, 380.61316744502983, 380.50398592637873, 380.3415095937219]"
10,"[340.3574012267442, 290.04279048369983, 287.163293763499, 288.9022379034322, 290.01059653210154, 290.79948658369267, 291.3163427708795, 291.6108084352608, 292.1011360744502, 292.5116302108591, 292.63323669109406, 292.6835210666889]"
20,"[322.87621696767616, 267.68190764770526, 267.35496196134, 269.8229951445204, 272.3829320863048, 274.86067847968366, 277.2046418857058, 279.2967137916143, 281.52317919076154, 283.23869959033163, 284.8499018655267, 286.16388237881904]"
30,"[314.9865678339644, 258.2966805146387, 255.1735357269845, 254.29422592639978, 253.4860183512939, 254.43339686779495, 256.327858304343, 259.87748384742815, 265.22739120099766, 270.4337909418629, 275.6841452418377, 280.52038024638136]"
40,"[309.04126283383573, 255.95184213220062, 252.9578441835851, 249.27265343998104, 245.08229599252962, 243.31453490474456, 243.3089887696797, 244.95135926851688, 248.79520587385232, 253.20504305444433, 259.23420001059554, 265.58470369418177]"
50,"[303.73288566111177, 244.2897173109517, 242.04266962078722, 240.46358900695014, 236.95724080556244, 235.36918671434654, 235.1086604786962, 236.5751139675161, 240.29721901920766, 244.86701175004842, 252.09773094621232, 260.4027836689765]"
60,"[301.2366920874859, 250.84031644916038, 255.08822250484243, 259.7709038331722, 260.9571255367849, 261.32250807968035, 258.40476842414995, 253.97603486583995, 249.51399431363268, 247.29706344834773, 247.7806668221805, 250.9662053606882]"
70,"[297.617616461191, 236.65433048302478, 234.91815225094888, 234.4164822062736, 231.56715419952158, 229.8204054374025, 229.0656215113084, 230.05240084205502, 232.60321279353371, 236.7230099707805, 244.9077781644926, 254.9126469714247]"
80,"[297.7123004474521, 232.5772721629171, 227.598066892462, 227.39907087756106, 226.52290794010887, 227.95982157319617, 230.26731283466, 232.80004601318868, 235.43082312582737, 240.22124873429104, 249.63707664670704, 259.8869997749619]"
90,"[295.46710685015523, 230.8411325681054, 228.04233195530674, 230.8959530370672, 233.11120578543813, 235.30129549128208, 234.08046641237354, 230.96802087976607, 229.61206443318272, 226.35923510488246, 228.44109868339044, 235.1111842055224]"
100,"[287.92466860834895, 223.12037866151258, 216.84896571030333, 215.3852861032675, 215.38506547001816, 216.36762628422437, 217.0796103161669, 217.82418482744637, 218.8438294771359, 222.1647583355979, 230.46391330077506, 241.72149798075932]"
110,"[285.2759492543671, 214.8834240675011, 209.18428231006575, 210.00783498501727, 210.6867804183161, 211.58661541593386, 212.43470006568776, 214.544115385762, 217.22714801337202, 218.05910942329638, 223.68354717379535, 232.53533892779785]"
120,"[281.6609964481831, 213.4198476561738, 215.81637801217755, 220.37216021595367, 221.22700356044436, 219.85110341471858, 217.2803296639823, 214.35180070448544, 214.5666614998564, 215.16096206281435, 222.0520312506352, 232.92376528890208]"
130,"[281.3373573528874, 209.04750748002812, 205.92637271282217, 208.30262705160203, 210.43997192865106, 213.58285019244747, 214.80581203210377, 216.2857809167054, 217.32611907527587, 214.64048657436598, 215.61719157324754, 219.50201456845582]"
140,"[280.72749013715134, 205.3678256229086, 197.275522669206, 197.61496302349644, 197.07522506489406, 198.37306687041735, 199.9779625462248, 202.37469240674935, 207.22781207073396, 209.96125481067895, 215.43579673075175, 224.09655935536065]"
150,"[278.0294145113523, 203.81122702953584, 197.3473750102705, 199.00684055127365, 200.29183022523952, 202.30669391531563, 203.71870775958737, 205.13215182339673, 207.69640471325053, 209.13708726343987, 211.34518578988306, 215.82194992337628]"
160,"[274.84122057945024, 202.1804255818614, 198.5891193643354, 200.08687163886725, 199.68860853847804, 198.2633495198222, 196.24345128727055, 195.5819369701855, 198.35528727275016, 199.36967988525967, 206.7846949983791, 216.88458128267]"
170,"[275.6143707816449, 201.3322901847507, 193.53269249086094, 193.5957727720023, 193.79516750899475, 196.49208133866185, 200.91955720393767, 203.30203264159252, 203.02148018106493, 200.7092732075976, 202.24369228936598, 207.76112108966177]"
180,"[271.6317703231102, 197.14865829648073, 195.079591643258, 200.06992800559857, 203.5897175979894, 205.9563874169775, 206.47900034546797, 205.59790450108855, 207.28516547701116, 207.41758277088002, 209.90330486618134, 215.87672518156322]"
190,"[270.82489180389655, 198.35286140057428, 191.46918502870795, 192.1114900786964, 191.72779788546387, 192.90768212254852, 193.7982903082008, 193.5394584428356, 195.81815484484147, 196.4919133837323, 200.28102124560846, 208.43879101694185]"
200,"[268.7679968912981, 190.44547815951847, 185.2810481405956, 187.21612403992162, 187.54024956383796, 187.95643278835598, 188.32609839692864, 190.4746834042716, 195.18951441964512, 194.91412391428295, 199.095192271699, 206.39219349289885]"
210,"[267.4373868965217, 193.37157422173271, 187.8129589062151, 190.42061474228126, 188.55330215370785, 187.90353131753605, 186.56635818347144, 183.82782193749264, 187.36401034344587, 187.6676302898889, 190.776879719318, 197.9431052013532]"
220,"[266.3981023643789, 187.37258180962627, 181.17432392813132, 183.85037188220787, 183.64725009645457, 184.34155548424152, 186.55661026746665, 185.75211510967327, 187.97965446646333, 187.43857226275034, 191.79633045434826, 198.1252369285746]"
230,"[263.18361597315, 187.1348042277684, 182.12783748901984, 184.16355240908865, 186.9599465120808, 188.6352584664637, 188.78048198025436, 186.2024333615514, 190.68426294355527, 194.9024679762019, 199.92881666651996, 205.49680796248015]"
240,"[262.4400570603755, 183.0652356146038, 177.4923944772496, 179.16014432634935, 178.60841305650635, 178.8275621504844, 178.4334902713901, 179.22829137515197, 184.12796481863927, 185.52701462502665, 189.79495690144833, 197.8712601872196]"
250,"[265.30976858245344, 188.8359603618976, 179.53199490592738, 179.66587377821605, 177.42510250992197, 175.72232609759158, 175.46590994236723, 174.46164704625733, 179.052367603475, 180.60904187146144, 184.30043138497737, 191.87222173766858]"
260,"[261.19452203902597, 181.8818574582544, 177.5355978058302, 184.09279282761838, 186.91944835045413, 187.5889985173083, 186.22289794884207, 187.12269473973237, 191.43944343303505, 196.40110628137825, 205.69830616664717, 219.777627962773]"
