0,trainLoss,trainRMSE-avg,testRMSE-avg
1,249289.53,236.9836,144.9982
2,154546.29,237.015,145.1607
3,123165.93,237.0449,145.2305
4,112415.45,237.0662,145.2728
5,107219.07,237.0851,145.3166
6,103965.76,237.1101,145.4108
7,101666.84,237.1221,145.452
8,99930.1,237.1448,145.5176
9,98538.65,237.1657,145.5367
