0,trainLoss,trainRMSE-avg,testRMSE-avg
1,98482.6,182.4008,79.94
2,97219.6,182.4047,79.8695
3,95971.99,182.3943,79.914
4,94648.26,182.3969,79.8813
5,93380.93,182.4101,79.8684
6,92191.17,182.3947,79.868
7,91051.55,182.4119,79.8733
8,89973.7,182.392,79.8585
9,88794.43,182.3973,79.9053
