iteration,trainLoss,trainRMSE-avg
0,78506.96,280.19
10,67861.445,260.47
20,62202.29,249.34
30,56934.05,238.52
40,52416.824,228.85
50,49221.824,221.8
60,47662.496,218.31
70,46653.902,215.98
80,45489.023,213.27
90,43846.215,209.37
100,42586.5,206.35
110,40452.7,201.11
120,38456.895,196.06
130,37819.77,194.42
140,35951.383,189.55
150,34410.973,185.46
160,32515.531,180.26
170,31810.418,178.17
180,30488.865,174.56
190,30112.701,173.46
200,30137.19,173.46
210,31176.629,176.53
220,28397.635,168.37
230,29611.45,172.04
240,27992.027,167.27
250,26611.156,163.04
260,26013.568,161.2
270,26637.186,163.16
280,25554.174,159.75
290,25068.266,158.29
300,25163.125,158.47
310,24042.37,154.95
320,24170.959,155.38
330,21420.197,146.27
340,22465.295,149.8
350,21541.926,146.7
360,24729.71,157.17
370,25178.383,158.45
380,22264.723,149.16
390,23826.018,154.3
400,23873.162,154.38
410,20395.748,142.72
420,19361.51,139.03
430,19026.89,137.75
440,18647.693,136.44
450,18046.904,134.18
460,18260.396,134.99
470,16915.252,129.86
480,18011.633,134.11
490,17316.406,131.34
500,20145.1,141.28
510,17599.719,132.52
520,17020.441,130.29
530,18023.057,134.18
540,16595.809,128.72
550,20432.516,142.42
560,16422.357,128.03
570,15613.926,124.78
580,16364.9795,127.83
590,17452.986,132.02
600,15699.57,125.17
610,15190.422,123.1
620,17276.707,131.32
630,17270.291,131.33
640,15478.084,124.21
650,15506.761,124.42
660,16946.25,130.05
670,16921.594,129.98
680,15334.191,123.69
690,15455.6875,124.21
700,15128.797,122.9
710,14272.716,119.32
720,16539.873,128.52
730,17009.674,130.26
740,15076.483,122.66
750,13877.843,117.63
760,14310.917,119.51
770,14000.095,118.17
780,15034.613,122.46
790,13944.819,117.84
800,14044.635,118.39
810,13105.371,114.29
820,12695.632,112.49
830,14168.719,118.92
840,14226.832,119.13
850,13419.416,115.72
860,12865.367,113.28
870,12917.358,113.5
880,13627.448,116.58
890,13194.745,114.72
900,12379.534,111.12
910,12276.943,110.67
920,15859.515,125.56
930,12960.642,113.7
940,12509.553,111.7
950,14152.677,118.92
960,11620.856,107.6
970,17459.66,132.08
980,12306.426,110.81
990,12552.768,111.92
