0,trainLoss,trainRMSE-avg,testRMSE-avg
1,60721.71,160.0021,57.8892
2,54049.13,160.0072,57.9269
3,53137.88,160.0052,57.8881
4,52756.15,160.0063,57.8753
5,52488.13,160.0077,57.8789
6,52241.28,160.0066,57.8853
7,51996.48,160.0114,57.8849
8,51762.97,160.0082,57.8732
9,51529.25,160.0071,57.8819
