iteration,trainLoss,trainRMSE-avg
0,305270.06,552.51
10,257101.89,506.96
20,238695.73,488.4
30,218902.81,467.58
40,197861.31,444.33
50,175646.2,418.32
60,156139.23,394.1
70,137764.62,369.82
80,122445.87,348.43
90,110609.56,330.99
100,101385.555,317.16
110,95390.586,307.55
120,87957.164,295.08
130,78876.09,279.04
140,73704.84,269.61
150,71963.1,266.6
160,68867.12,260.52
170,69132.04,261.3
180,67088.66,257.14
190,66515.99,256.1
200,63589.754,249.97
210,63697.61,250.37
220,59176.008,241.41
230,61911.062,246.62
240,60248.36,242.96
250,62140.35,247.7
260,57303.516,237.64
270,60887.35,244.82
280,55977.78,234.5
290,60077.047,243.07
300,59786.625,242.27
310,58236.83,239.08
320,62531.344,248.22
330,59320.01,241.42
340,56205.605,234.93
350,56475.73,235.39
360,55822.742,234.43
370,57511.27,238.54
380,53192.81,229.01
390,51083.914,224.35
400,50030.484,221.76
410,60606.914,244.12
420,54206.293,230.61
430,50193.03,222.23
440,51475.94,224.74
450,57368.105,237.97
460,51246.57,224.5
470,57488.234,238.13
480,63452.996,250.09
490,60073.98,243.57
500,55388.086,233.7
510,57039.754,237.79
520,68257.78,259.62
530,61846.008,247.82
540,55628.895,234.81
550,49679.395,221.57
560,47877.21,217.68
570,46808.516,214.71
580,49694.832,221.26
590,43326.805,206.86
600,44647.99,210.34
610,43057.766,206.14
620,44502.72,209.71
630,42331.773,204.4
640,42713.18,205.21
650,42586.82,205.16
660,46974.086,215.25
670,41939.613,203.36
680,45116.6,211.35
690,41004.78,201.42
700,41607.375,202.73
710,41454.176,202.64
720,38616.566,195.39
730,39435.035,197.64
740,46178.44,213.76
750,47032.684,215.01
760,43007.492,206.16
770,45334.043,211.98
780,40701.81,200.61
790,40969.09,201.61
800,43531.934,207.63
810,37707.344,193.42
820,37420.95,192.6
830,41089.02,201.49
840,38939.07,196.51
850,40080.75,199.44
860,39461.344,197.96
870,40893.395,201.68
880,36241.945,189.77
890,34478.92,185.03
900,35738.1,188.41
910,41262.727,202.59
920,36787.535,191.29
930,41446.734,203.06
940,41125.562,201.97
950,35013.863,186.63
960,33152.664,181.54
970,33631.324,182.82
980,35244.266,187.25
990,34100.11,184.23
