iteration,trainRMSE
0,"[549.3604357644363, 550.9813725425091, 551.5604893936683, 552.0372170846248, 552.4641615456873, 552.8879818276516, 553.1383567861199, 553.3842860975769, 553.5142876972051, 553.5617318462855, 553.6150453611151, 553.6165076978502]"
10,"[539.1438923834044, 509.2554103692964, 503.3941367888332, 502.75613925893305, 502.9130914088128, 503.23807657897646, 503.4768609515662, 503.7186117146493, 503.8417039535941, 503.8847922582515, 503.9269773213783, 503.92635675934304]"
20,"[530.3551323617193, 486.2125523530329, 484.15464790436596, 483.7253482999583, 483.8712902604796, 484.1822655388097, 484.408633251223, 484.6440173070719, 484.763426063853, 484.8039309326536, 484.84186261358275, 484.84048892502847]"
30,"[521.9516690959019, 463.3409372492294, 462.2604495717602, 461.87922090600824, 462.05950208827653, 462.3715138884476, 462.5818570129061, 462.79567473378165, 462.90078117448456, 462.9323849677405, 462.96116790031374, 462.95699368061565]"
40,"[513.4647812340762, 437.5134172181811, 437.587678150314, 437.4547709931662, 437.6475437704832, 437.9544055631969, 438.1448648095182, 438.3396055543321, 438.4257143803766, 438.45052277596176, 438.46815121622654, 438.46699641421816]"
50,"[503.05884049382314, 413.7347283363044, 410.6759708018771, 409.6756716081651, 409.6709009095502, 409.9080466941409, 410.09054554148935, 410.3330827573141, 410.51987472275533, 410.66033194605546, 410.7436629933564, 410.77170949693385]"
60,"[489.29036816196844, 388.8038008277114, 384.95992419476255, 384.23305137512904, 384.2894342749958, 384.5239731796928, 384.7618606194369, 385.1564450081846, 385.4839575784057, 385.72947236106546, 385.90463286011516, 386.0417872481081]"
70,"[474.4172318437493, 365.1903101235406, 360.09218899115666, 359.393770123773, 359.4580772730381, 359.67441651533255, 359.77572939814246, 359.90390340998806, 359.9593318968934, 359.98631844630364, 359.9764187052999, 360.01569664260523]"
80,"[455.34668490468454, 342.7308676677637, 338.28147055225327, 337.80608074634563, 337.90517306433196, 338.098675701854, 338.2524618403719, 338.43254724477396, 338.5335728203218, 338.5687428288115, 338.5746015119816, 338.64329762182984]"
90,"[438.5897463499362, 323.74068835694294, 320.19404576545514, 320.25709999689764, 320.537956483727, 320.8520470396018, 321.0283524672131, 321.180280183601, 321.2827869040514, 321.3579937978189, 321.38236515373734, 321.4941337306268]"
100,"[410.58728937248213, 309.03238584093435, 305.70107519415217, 306.0421703602404, 307.31939425392864, 308.53469766953106, 309.27473624303525, 309.69163312923376, 309.8927912215775, 309.95462088323023, 309.8848112439628, 309.973410824122]"
110,"[401.41731231146014, 296.92253564751815, 294.45356694533996, 296.27746150027275, 298.2886669543008, 299.50427285670435, 300.07461800006604, 300.33820867718254, 300.4145295511342, 300.65593298515313, 300.90196653012174, 301.29797266986316]"
120,"[392.6565970634125, 282.63842738410904, 278.602443280794, 280.1510540616522, 283.1564017311896, 285.98587646381105, 287.9494500404702, 289.04601911241156, 289.61197341967437, 290.1053939408418, 290.329332028954, 290.7738614470937]"
130,"[380.84772065930906, 265.02599132325753, 253.25136484715748, 256.66268905503614, 262.7688728587934, 269.3672644432659, 273.62252452537984, 275.7772394409053, 276.8140636127736, 277.59182650354626, 278.013984880265, 278.7459439345141]"
140,"[366.90557043139086, 252.59295287799128, 245.39499514219767, 242.20570277150898, 245.00869889389395, 253.08213551829235, 262.1194585907418, 269.1447296924049, 273.12360930302975, 275.04567205490787, 275.3620819787648, 275.39285167857435]"
150,"[354.8076427230211, 241.56983967014676, 238.68214401708326, 239.0238782424552, 245.5978793910381, 256.48235211912964, 264.8988799416018, 268.6646521667832, 270.4511056438565, 272.0330029779004, 272.79583408817865, 274.1861119733484]"
160,"[348.3585044501487, 234.3555375176405, 233.17204368569355, 228.99115583630737, 231.07167346764834, 241.8427203334628, 255.27459423477256, 264.319190700285, 269.07049523567616, 271.9534820556002, 273.301050267821, 274.4890315309026]"
170,"[342.97598373082343, 236.93030882129082, 237.0910772673607, 232.8608311463088, 233.4771594010009, 243.94766808075326, 256.290183149727, 264.10101607119367, 268.6035516168321, 271.82511643281896, 273.08444259327894, 274.3993314550571]"
180,"[339.712150418976, 234.93284922779844, 235.64013615993156, 228.7347732245603, 226.21829534951644, 230.03654023945097, 241.55181526070126, 255.70452167019752, 266.9768834476198, 273.47902162098086, 276.3566536496202, 276.2956248031424]"
190,"[336.9052264947195, 234.5286406175964, 238.1289817528607, 232.29556907610217, 223.37829667138956, 226.1849159144406, 240.80518101883067, 255.44252047988348, 264.47756253097367, 270.4137428519068, 274.22884104879734, 276.4606921307828]"
200,"[336.0819395790164, 229.07431861595012, 231.14601259556213, 227.4955480744803, 221.65533996441732, 219.432978570824, 224.79080506829385, 236.337845997343, 249.99244292261855, 264.65701207208144, 276.2490915523271, 282.7179192181003]"
210,"[334.53351673382593, 230.22746140925202, 234.87153415988635, 233.04781968230787, 229.14156492784238, 225.43386525024815, 225.95699898857367, 231.5774055959838, 241.42713846047062, 256.67531794321764, 273.78783596320983, 287.7847317017406]"
220,"[332.0118925204678, 229.526199655297, 228.4240164470027, 222.21638363633582, 219.71033401262855, 222.24096734924467, 225.11860634213866, 228.16526172379136, 233.2319673679815, 243.02376280186817, 252.89395495461622, 260.39982277358206]"
230,"[329.957665129996, 226.0450706790062, 226.3825093187059, 219.28338399694704, 212.5941701316302, 214.79040855751578, 225.4357614551096, 239.94299612271368, 252.79881914558254, 263.0787346815106, 271.31292277423165, 277.7749372434557]"
240,"[329.20810537353293, 222.67644161088847, 218.38523897698948, 215.18966962135283, 214.13934842982155, 214.74718035189855, 220.3192437861161, 228.2511232249935, 238.103506862359, 254.0124257963394, 273.83560799230025, 286.68504842093296]"
250,"[328.31823016542273, 226.02487670593462, 226.9001701985934, 227.86848396904455, 230.49205478755002, 233.30485905102339, 235.80540011543573, 237.70745623913126, 240.85376493993974, 250.60118650028656, 264.04285911969896, 270.520407378975]"
260,"[327.938764541145, 224.05154989315722, 222.18066300800075, 222.6057073420509, 222.59964404425114, 222.74919263950073, 223.76644184146696, 225.11160055377184, 227.54554590391285, 236.80923648634652, 245.9947210913678, 250.36089553707848]"
270,"[325.2979352879382, 219.0462493001891, 219.20784368909455, 217.57589268109382, 217.17548396862836, 222.33822075346362, 231.92224821822924, 241.418461343261, 248.30922392195112, 256.2153639626734, 265.79978757215576, 273.523601571664]"
280,"[323.90046754727564, 217.0202305666919, 213.73462155701748, 211.82981840784296, 210.7635230729086, 212.39882402174274, 217.29301381480775, 223.58213327900964, 230.02018564340688, 239.04882211312471, 251.40724544754607, 262.9686598456309]"
290,"[322.3440643908245, 219.09467681271715, 220.32417284063925, 218.0053586317397, 214.470304901326, 216.05208233034983, 224.01451032481523, 233.94451838770303, 245.62590421205272, 259.5395076120016, 268.57792004476926, 274.796846434934]"
300,"[321.0505403786741, 217.53443120143706, 214.94249596628268, 212.29675998011533, 211.3050360508681, 216.33855471301942, 225.25601022911184, 233.15154743126908, 244.64062441674122, 258.8673476859064, 271.474726737986, 280.43551749672804]"
310,"[319.93917585569426, 217.19465700907404, 209.8569268812094, 209.79828466640632, 210.9246657964825, 214.39328044881, 220.39147424480896, 228.8292581080283, 241.26845167423423, 254.8761981925523, 266.1411050360602, 275.39235132842913]"
320,"[314.8464316267811, 213.36615371539673, 214.09181585814522, 217.3524923738019, 219.97670688559757, 229.01458690261524, 240.76658502383157, 250.709878600909, 259.392763166883, 267.8219542920074, 273.862286260011, 277.4006036231946]"
330,"[319.53087866396527, 216.2889526463373, 211.80008022508946, 211.35873686572899, 213.96373968362897, 220.0313805413839, 228.59109021893798, 234.1665626125682, 238.43703635349377, 251.89035155044076, 269.7414226524656, 281.18484227304015]"
340,"[320.1071332793758, 211.24049259767452, 211.4037488140124, 210.19658648446367, 207.50585405144975, 211.31570540028275, 219.3686398634016, 228.44731632838452, 234.33740719744517, 241.98828021286755, 255.01124656873316, 268.2466117305381]"
350,"[309.9730184709987, 210.21963029226484, 209.4066556005306, 205.18050180910737, 200.76668717555447, 206.56712110083845, 217.98987817542533, 230.80853615395245, 242.8020234783087, 254.04192802154165, 264.05467158638226, 272.9089659984255]"
360,"[310.9241307732989, 212.01579397016505, 210.09689542546, 209.8753600844618, 211.9423746797443, 222.9073722256741, 229.16334335374995, 226.5611123248281, 223.1472232029322, 229.23241446642118, 253.4123439764821, 273.91197406149]"
370,"[315.7553212137657, 220.1838143463901, 222.0828344510129, 221.28438215419663, 222.54028147984775, 231.3855623797444, 239.29662019830909, 242.71656242667848, 243.11193265276862, 234.27140940656705, 230.23167922364854, 239.61487966700514]"
380,"[311.03888397087354, 209.2940244267755, 206.40300979605198, 205.31844793751875, 209.25965274729194, 219.04020306025822, 228.36086697061393, 231.88954268922362, 229.25377823187924, 224.67626643323337, 228.71741120795687, 244.84488011468576]"
390,"[308.04577020506525, 207.38289328838357, 205.96631645022433, 204.66945336441344, 205.36333182703297, 212.7762553643608, 219.72845370045206, 221.90997092670403, 219.02576605446538, 217.91459512382397, 226.1299689201302, 243.33062618134915]"
400,"[305.89227029901394, 207.71308477019323, 202.972317017673, 201.52282407955, 202.04437278747358, 205.85045358716334, 210.14165446140274, 210.45935652850707, 210.17917526742738, 217.80005739465804, 233.50867381586716, 253.05052617811288]"
410,"[305.63576629913075, 206.6291044563133, 210.03773230003145, 211.83491892826345, 214.02215080141912, 221.7368108864016, 234.82038054670514, 244.56842546915377, 254.27680551074323, 264.83431075150753, 276.44604913122134, 284.6420900655717]"
420,"[304.99897642712887, 202.5610715738493, 202.18159350951848, 203.84443112940215, 204.01096248893714, 206.58393662073024, 213.66515056832895, 221.2661135779606, 231.15815000809462, 245.10589205570875, 259.6693067458532, 272.25465367749194]"
430,"[305.4853157854059, 207.51517736419123, 203.69057859828584, 203.07379352447376, 204.51332598851224, 207.4837705774407, 210.17280446960572, 210.67596333797118, 211.7279470348284, 218.8458886859464, 233.62822652727874, 249.89439287330651]"
440,"[303.8825580826613, 199.47674438609752, 200.19665260280803, 202.22774492150822, 202.09961340485688, 204.1211216109107, 207.91059893904801, 211.23078278684548, 220.88643407309843, 232.96640014552435, 247.780728460284, 264.13399930793497]"
