iteration,trainRMSE
0,"[210.40093855493538, 210.37165938833897, 210.35046721362798, 210.3258620792245, 210.31307094468747, 210.3091898250392, 210.31878831671025, 210.16733166567894, 209.8154773164508, 209.4217377392708, 208.94287054565604, 208.80131854369273]"
10,"[201.33973353479675, 200.44044230680979, 200.33833862546496, 200.3199953295707, 200.3164083257028, 200.3154697885013, 200.31824450331794, 200.16814903823638, 199.8185488019973, 199.4264932023107, 198.9485979706206, 198.81161382594857]"
20,"[193.79576965656707, 193.12415485568064, 193.0286391670319, 193.01526161113796, 193.01346713836764, 193.01316566785087, 193.01376442858103, 192.87353359745939, 192.53709133979348, 192.1580519191043, 191.69262434607415, 191.56748887805492]"
30,"[187.37263144275875, 186.6084740735117, 186.4998817813455, 186.48615874804523, 186.4845802194983, 186.48431898562697, 186.48172453409617, 186.35612014859964, 186.041252732968, 185.6842075154534, 185.2412283181313, 185.1332907232943]"
40,"[182.8666655490604, 182.63290663956982, 182.59086165069272, 182.58720247162086, 182.5870365068414, 182.5869309018397, 182.58050953541462, 182.47513386223838, 182.1926814978239, 181.86941803843845, 181.4625122433934, 181.3775979022862]"
50,"[178.73852712609946, 181.69821958248156, 182.0910834437661, 182.23679316220594, 182.31990773419267, 182.3538934551633, 182.35396614415495, 182.27058654289004, 182.01933290440388, 181.72637708966195, 181.35734282879875, 181.29296063766088]"
60,"[177.42961715844467, 180.01259321912488, 180.84510146552162, 181.37710277200327, 181.61583533707275, 181.68807399479115, 181.7211154490887, 181.72713705386494, 181.4735609458718, 181.09434132823662, 180.7445090459454, 180.63578689244886]"
70,"[174.3721928944384, 177.1108376977768, 178.34605398362388, 179.54619262537017, 180.07653485453088, 180.1677156014551, 180.2792345236015, 180.2849116544831, 180.126969081615, 180.10345687489726, 180.07271919620132, 180.18954304185561]"
80,"[173.09402333780199, 175.89650555441793, 176.64135599741715, 176.87787452178904, 176.44595593868547, 175.96980894256373, 175.32433777681916, 175.2899498917045, 175.31176547160118, 175.93600360053924, 177.1127656777041, 178.1975100674455]"
90,"[170.5704889895526, 173.55844643359637, 174.1678689494855, 173.70537395453212, 173.0542399209498, 172.69804768500416, 172.46296308305986, 172.49420649417814, 172.21940528974724, 173.2144684929367, 174.61245367898448, 175.99899188762743]"
100,"[168.48879959381446, 171.6980165163647, 171.64525842551026, 171.88336297418684, 171.83810035080398, 172.28562750237688, 172.23212867637187, 172.14573054515603, 171.7184686817572, 172.8944902516337, 174.3454094352179, 175.45654567519293]"
110,"[166.49732045899242, 169.62713524731387, 168.9044192245576, 169.3070157061034, 169.35591455361924, 169.24810250417028, 168.58724526863676, 168.8228973397187, 168.9240517861332, 170.3787036333442, 172.85709281534324, 174.90613027004161]"
120,"[164.98190091499376, 168.41307203485982, 167.58443860646312, 167.8252678906474, 167.89112771685117, 167.9569262750575, 167.12511684869492, 167.10116777381813, 166.84521439461793, 167.9565530512055, 169.81627818243211, 172.5186915002303]"
