iteration,trainLoss,trainRMSE-avg
0,277579.4,526.86
50,171216.38,413.78
100,121420.6,348.45
150,87177.664,295.26
200,56636.832,237.93
250,47783.164,217.89
300,38379.63,195.52
350,32590.902,180.5
400,26136.662,161.65
450,25449.59,159.51
500,25523.338,159.73
550,23098.928,151.93
600,21272.19,145.81
650,20061.959,141.61
700,18799.46,137.06
750,17546.443,132.42
800,16699.756,129.19
850,17294.074,131.4
900,15305.058,123.63
950,15155.618,123.06
1000,13805.486,117.44
1050,15058.863,122.65
1100,16978.812,130.18
1150,12351.569,111.1
1200,11928.693,109.18
1250,12761.955,112.89
1300,16085.302,126.63
1350,11563.958,107.51
1400,10554.326,102.69
1450,11740.991,108.3
1500,11411.026,106.79
1550,12294.146,110.84
1600,11368.094,106.57
1650,11046.859,105.04
1700,10202.44,100.96
1750,9791.238,98.91
1800,9555.104,97.7
1850,8923.642,94.41
1900,10394.896,101.92
1950,9866.644,99.3
2000,8338.612,91.25
2050,8035.968,89.57
2100,8037.946,89.59
2150,7704.797,87.69
2200,12305.489,110.73
2250,9258.525,96.14
2300,7530.7656,86.7
2350,7863.3677,88.61
2400,8049.5127,89.65
2450,7300.7803,85.36
2500,9021.454,94.9
2550,7247.807,85.06
2600,6971.7354,83.42
2650,6944.389,83.25
2700,8105.023,89.97
2750,7780.642,88.14
2800,6773.2305,82.23
2850,8709.579,93.25
2900,6776.7046,82.26
2950,6337.3237,79.52
3000,7111.93,84.29
3050,5994.321,77.32
3100,6104.271,78.05
3150,6189.702,78.59
3200,9563.805,97.74
3250,6547.3467,80.85
3300,7002.23,83.63
3350,6383.14,79.83
3400,5878.3647,76.57
3450,6050.6846,77.71
3500,5883.5815,76.61
3550,5482.81,73.93
3600,5975.135,77.23
3650,5734.445,75.63
3700,6357.734,79.68
3750,5752.561,75.77
3800,5679.861,75.28
3850,6715.747,81.89
3900,5557.967,74.47
3950,5574.3027,74.57
4000,6984.538,83.53
4050,5075.466,71.13
4100,5010.7944,70.68
4150,4881.408,69.74
4200,4971.1943,70.39
4250,4999.5854,70.61
4300,4782.088,69.02
4350,5337.4414,72.99
4400,5003.5283,70.65
4450,5572.2876,74.59
4500,5422.6655,73.58
4550,6243.044,78.86
4600,4947.854,70.26
4650,5330.0117,72.96
4700,5520.7456,74.26
4750,5467.7095,73.88
4800,4473.8477,66.76
4850,4428.0146,66.42
4900,4334.5977,65.7
4950,4459.2354,66.68
