0,trainLoss,trainRMSE-avg,testRMSE-avg
1,37280.19,89.2173,87.4107
2,24675.63,89.2432,87.4235
3,23027.26,89.2216,87.4313
4,22686.55,89.2151,87.4447
5,22542.68,89.2162,87.4598
6,22446.29,89.2152,87.4594
7,22363.7,89.216,87.4627
8,22286.99,89.2174,87.4626
9,22211.45,89.2161,87.4558
