0,trainLoss,trainRMSE-avg,testRMSE-avg
1,51099.94,132.336,136.5643
2,48681.12,132.3377,136.5307
3,47772.53,132.3262,136.439
4,47525.39,132.3153,136.585
5,47403.53,132.3154,136.6201
6,47276.88,132.308,136.6182
7,47152.02,132.2925,136.5947
8,47027.28,132.2887,136.578
9,46899.66,132.2889,136.5449
