iteration,trainRMSE
0,"[551.5378423210853, 551.7109798990762, 551.9989803072039, 552.2221616598325, 552.5207578730935, 552.8778204579438, 553.120322580198, 553.361988944872, 553.4859650215543, 553.5266269527807, 553.5737784833585, 553.570675207624]"
10,"[546.4280404045273, 545.3160831172737, 545.3867538251395, 545.5720151946837, 545.8613518454605, 546.2168216261019, 546.46078094437, 546.7055410009575, 546.8343233917019, 546.880991044744, 546.9333029967775, 546.9354199202471]"
20,"[535.485375818378, 534.3681566380824, 534.4248633396339, 534.6048933002455, 534.8877507922591, 535.2397457893575, 535.4828322423297, 535.7268995072137, 535.8544192219027, 535.9000463665824, 535.9499512760347, 535.9511014639678]"
30,"[522.3446949749629, 520.4546758799198, 520.3938432301268, 520.5576099532566, 520.8362482475615, 521.1815411551947, 521.4148273402939, 521.648125551588, 521.7658441950665, 521.8050598420948, 521.8494510309428, 521.849875123651]"
40,"[506.42581227629694, 503.9537479325652, 503.81059188863526, 503.962035364042, 504.23531009959686, 504.5753011346213, 504.80295163062897, 505.0297317519451, 505.14093548755693, 505.1755639225946, 505.21455996237796, 505.21413183812604]"
50,"[487.4673417904101, 484.22501984002275, 483.9551234848486, 484.0799777548738, 484.34087379014204, 484.6709789142773, 484.88923352020566, 485.10587860484486, 485.2075038207335, 485.2361574594816, 485.2675281521328, 485.26551627961004]"
60,"[466.5726632782663, 462.78550323290096, 462.4037195961872, 462.50554190801324, 462.7542738767014, 463.07276716667087, 463.2776279622371, 463.48006974685103, 463.569082215881, 463.5897141132157, 463.6130249910716, 463.6102466635171]"
70,"[443.55771044031167, 439.5339451663757, 439.0512041965638, 439.1382117270069, 439.37874797524995, 439.68142846550717, 439.8722889585228, 440.06941076717055, 440.15745738572144, 440.1804147984363, 440.19943323630264, 440.19943060173074]"
80,"[418.46991628979697, 414.52552615896013, 414.1570188690861, 414.1913230360313, 414.40534630255223, 414.7053805994623, 414.89933625922, 415.0965802343338, 415.1948771157205, 415.2413747197056, 415.2763131458048, 415.29633489147795]"
90,"[395.7057506426379, 390.6314217557657, 390.01657413806316, 390.0210625360611, 390.19496501170266, 390.53324422807634, 390.8305894803686, 391.2141858384377, 391.5109754456325, 391.7893132988997, 391.96068262766175, 392.1268619224381]"
