0,trainLoss,trainRMSE-avg,testRMSE-avg
1,45675.62,164.1511,79.6333
2,44692.76,164.4511,78.9367
3,44074.78,164.9367,79.7671
4,43493.1,165.3266,80.8669
5,42932.3,166.6428,83.5414
6,42422.71,167.301,84.979
7,41944.23,169.5372,89.379
8,41535.86,173.3696,96.3289
9,41204.21,177.5314,103.3133
