0,trainLoss,trainRMSE-avg,testRMSE-avg
1,272036.31,279.3718,137.4572
2,234306.45,279.4057,137.5785
3,224296.83,279.419,137.6071
4,219500.8,279.4253,137.6134
5,217011.97,279.434,137.6212
6,215570.36,279.4303,137.5863
7,214623.42,279.4388,137.6177
8,213916.67,279.4412,137.5934
9,213352.28,279.4309,137.5816
