0,trainLoss,trainRMSE-avg,testRMSE-avg
1,105497.26,222.4777,118.6322
2,92806.92,222.488,118.5653
3,90165.04,222.4852,118.6335
4,89227.95,222.4903,118.6226
5,88650.31,222.491,118.6186
6,88148.8,222.4905,118.6397
7,87680.37,222.4934,118.6532
8,87223.9,222.4907,118.6242
9,86783.65,222.4931,118.6265
