iteration,trainRMSE
0,"[551.538093928405, 551.7193752753099, 552.0059496159317, 552.2335971505672, 552.5277940468923, 552.8239555170254, 552.9746365596145, 553.136980341172, 553.2049443908621, 553.2149629063666, 553.2537673899742, 553.2599150916435]"
30,"[479.81124051005213, 479.07667809612815, 479.2083233261093, 479.3927577825079, 479.6667300403534, 480.00002578240066, 480.2195110396386, 480.44041310773326, 480.5516269761531, 480.59194602663365, 480.63620836408177, 480.6490352029539]"
60,"[429.58694571305125, 428.74292306571675, 428.7972775796656, 428.93903985891717, 429.2249353649908, 429.63549028011795, 429.9389442771046, 430.2184616398244, 430.38069133349063, 430.43686290492593, 430.47744900562975, 430.5124391266663]"
90,"[372.2181493280326, 370.948659304717, 370.9151763828674, 371.05289402491354, 371.3007104073678, 371.6168895871929, 371.84084267505165, 372.0733955513053, 372.23522721295967, 372.3328294708916, 372.4877431538573, 372.6539847826652]"
120,"[314.3171198429397, 313.2324105115133, 313.3599606699013, 313.6032841722506, 314.02685314892784, 314.4143345218238, 314.6186082626156, 314.8310651426348, 314.88589408322076, 315.10346864220804, 315.4711111192069, 315.99545953835286]"
150,"[267.8947264217832, 263.40058003448746, 265.90583725648764, 269.89532028379796, 274.26192121534206, 278.6420799715831, 282.23605793576394, 284.3109842323548, 285.095929503453, 285.2584305083359, 284.87756975987094, 284.9614807639237]"
180,"[254.0032684368155, 249.62464202104206, 250.30849935107886, 254.43378618305007, 260.73975688624483, 266.9081441614416, 270.7875443282635, 272.530454378662, 273.2907898027739, 274.04706939468963, 274.9688576198717, 276.17360024864354]"
210,"[236.7386456698894, 228.76780486848878, 223.2936417533159, 222.20565648641778, 224.1318371444807, 228.98697903211286, 235.0516547634771, 240.99642553756794, 248.3212901326427, 257.5116956307024, 266.14685610196466, 271.89860233047085]"
240,"[225.73365467132342, 221.65050122895587, 216.50121450062946, 213.72230603471164, 212.03660029903887, 214.60739288304552, 222.410996772228, 231.9799606983053, 243.19408390259147, 255.24776879520107, 264.65396320503976, 270.16508589821717]"
270,"[209.58019432429492, 212.8680945904624, 211.15971229929116, 208.78929270373501, 206.43232997945202, 206.9785252358929, 207.69128096195297, 206.97972363247115, 206.3671357190899, 211.9577137544563, 224.64755446609783, 243.65730035953484]"
300,"[184.2660656547847, 190.1191510260872, 190.8825876984487, 190.55862980300074, 190.40724643822438, 190.64662180148366, 191.1438068246406, 190.03188184512794, 189.47078226341537, 190.32462507688894, 195.37221176316592, 210.55875253361774]"
330,"[186.36311263659863, 188.667772924749, 188.45414596724237, 187.38992049907267, 187.89794167521683, 191.92063475070043, 197.6983486731656, 203.27917864183019, 206.8252376056379, 209.98681560440366, 216.06109572855456, 225.59727988091757]"
360,"[173.72098829767427, 181.444815140668, 185.26066701557463, 184.5044867349344, 182.6220749696184, 182.059067809799, 182.9222963057303, 182.1546890122875, 181.48122164838213, 183.41443133002232, 187.52159252048835, 196.29446771886552]"
390,"[166.7442561981413, 173.9463671519514, 172.75406259350922, 170.06887347965701, 169.75244612238112, 171.75093629488592, 173.4228773028703, 171.9908794718094, 168.87850585753665, 168.31131911117913, 171.48594263844092, 177.35488635197132]"
420,"[159.0502020905964, 165.61616326085976, 161.9784308993541, 157.86698169503367, 156.30644210030314, 156.41943330817367, 159.48378256297568, 160.7481944145889, 158.80488488690855, 158.87838417897945, 160.13842627572046, 166.28395599985254]"
450,"[161.50067213514208, 164.7677468563782, 158.96866628444766, 155.7267754571915, 153.87339825019328, 154.5341945274024, 156.1160518572368, 156.50660563527248, 155.31264600222437, 154.41933911987365, 154.3605007895714, 159.42777980210332]"
480,"[143.3775248669395, 146.38371414633625, 144.17299810907488, 143.36307921920638, 141.51225936599832, 141.65995086678416, 142.43514285943348, 144.09236766809096, 143.41498905771854, 141.05310673600044, 143.49918941210302, 150.95243476114896]"
510,"[134.9448803533715, 137.16777692260433, 135.79562379353277, 134.02609265988602, 133.64725141088562, 135.61685468077735, 135.30761612728702, 133.84574530968078, 133.9827022679081, 133.6545797699468, 135.78995384452804, 144.20363778725738]"
540,"[135.9034241502006, 139.97260399046613, 141.16628482760603, 139.47319247964026, 141.04132615516218, 144.05530054364226, 147.8724759102743, 153.53691327795937, 156.14651683171215, 154.64741310834614, 153.7978519678268, 161.27238358279362]"
570,"[128.95483383806234, 128.52435094950957, 126.75446831034247, 122.4580173973383, 123.81705339581855, 125.66962648758933, 126.01580439754456, 126.03091321956958, 127.68776822723626, 128.7546141545556, 129.13885110210606, 134.8341520938195]"
600,"[126.57460458527946, 125.42986296590821, 124.5906082698878, 120.16524129890975, 121.28956284818575, 123.94604415354961, 125.8190384857737, 126.03190995838587, 126.92023004791486, 127.277146712509, 128.06953796013642, 132.39965959627665]"
630,"[137.0474672280582, 133.25273688275323, 131.0109171494696, 128.99312383387146, 130.86151544354914, 131.24720282941317, 131.80895410952076, 133.61342652304097, 137.0025378984524, 138.62208680154646, 139.31348863937393, 145.35054000626204]"
660,"[121.45479889595501, 118.75704956830275, 117.77620447859974, 113.9657934035584, 116.79257651701496, 119.59508412948101, 122.59516734483856, 124.44259169879314, 126.05415203049883, 125.50164319765555, 126.56033925445045, 131.49356761226846]"
690,"[125.01448494493063, 125.49305356209979, 123.68696049999319, 121.12033596434782, 122.55767759738971, 125.83234196691487, 128.46212969307317, 129.67470048053363, 132.00446010614462, 132.27347626081507, 132.55221181395865, 138.73304150212954]"
720,"[121.48941955688795, 120.93822304738258, 122.77340108303859, 121.54430194072768, 122.52205536032507, 123.56476004493089, 124.0727632491797, 125.41406471881784, 127.02898663409512, 126.7032494478572, 127.0360214976037, 130.30254789586064]"
750,"[119.96890559800306, 117.99980855117944, 115.29792762005323, 113.07618097930946, 113.30937109426192, 115.32025457119089, 116.2189200125682, 118.42192850774538, 118.85088294485912, 120.6161032437711, 121.13869041764153, 126.87015857367236]"
