90.0,190.0,420.0,490.0,730.0,700.0,590.0,750.0,480.0,540.0,480.0,590.0,
190.0,420.0,490.0,730.0,700.0,590.0,750.0,480.0,540.0,480.0,590.0,530.0,
420.0,490.0,730.0,700.0,590.0,750.0,480.0,540.0,480.0,590.0,530.0,600.0,
490.0,730.0,700.0,590.0,750.0,480.0,540.0,480.0,590.0,530.0,600.0,630.0,
730.0,700.0,590.0,750.0,480.0,540.0,480.0,590.0,530.0,600.0,630.0,620.0,
700.0,590.0,750.0,480.0,540.0,480.0,590.0,530.0,600.0,630.0,620.0,730.0,
590.0,750.0,480.0,540.0,480.0,590.0,530.0,600.0,630.0,620.0,730.0,800.0,
750.0,480.0,540.0,480.0,590.0,530.0,600.0,630.0,620.0,730.0,800.0,720.0,
480.0,540.0,480.0,590.0,530.0,600.0,630.0,620.0,730.0,800.0,720.0,900.0,
540.0,480.0,590.0,530.0,600.0,630.0,620.0,730.0,800.0,720.0,900.0,410.0,
480.0,590.0,530.0,600.0,630.0,620.0,730.0,800.0,720.0,900.0,410.0,180.0,
590.0,530.0,600.0,630.0,620.0,730.0,800.0,720.0,900.0,410.0,180.0,180.0,
530.0,600.0,630.0,620.0,730.0,800.0,720.0,900.0,410.0,180.0,180.0,140.0,
600.0,630.0,620.0,730.0,800.0,720.0,900.0,410.0,180.0,180.0,140.0,80.0,
630.0,620.0,730.0,800.0,720.0,900.0,410.0,180.0,180.0,140.0,80.0,290.0,
620.0,730.0,800.0,720.0,900.0,410.0,180.0,180.0,140.0,80.0,290.0,480.0,
730.0,800.0,720.0,900.0,410.0,180.0,180.0,140.0,80.0,290.0,480.0,710.0,
800.0,720.0,900.0,410.0,180.0,180.0,140.0,80.0,290.0,480.0,710.0,740.0,
720.0,900.0,410.0,180.0,180.0,140.0,80.0,290.0,480.0,710.0,740.0,780.0,
900.0,410.0,180.0,180.0,140.0,80.0,290.0,480.0,710.0,740.0,780.0,550.0,
410.0,180.0,180.0,140.0,80.0,290.0,480.0,710.0,740.0,780.0,550.0,520.0,
180.0,180.0,140.0,80.0,290.0,480.0,710.0,740.0,780.0,550.0,520.0,440.0,
180.0,140.0,80.0,290.0,480.0,710.0,740.0,780.0,550.0,520.0,440.0,460.0,
140.0,80.0,290.0,480.0,710.0,740.0,780.0,550.0,520.0,440.0,460.0,540.0,
80.0,290.0,480.0,710.0,740.0,780.0,550.0,520.0,440.0,460.0,540.0,690.0,
290.0,480.0,710.0,740.0,780.0,550.0,520.0,440.0,460.0,540.0,690.0,820.0,
480.0,710.0,740.0,780.0,550.0,520.0,440.0,460.0,540.0,690.0,820.0,700.0,
710.0,740.0,780.0,550.0,520.0,440.0,460.0,540.0,690.0,820.0,700.0,630.0,
740.0,780.0,550.0,520.0,440.0,460.0,540.0,690.0,820.0,700.0,630.0,690.0,
780.0,550.0,520.0,440.0,460.0,540.0,690.0,820.0,700.0,630.0,690.0,620.0,
550.0,520.0,440.0,460.0,540.0,690.0,820.0,700.0,630.0,690.0,620.0,500.0,
520.0,440.0,460.0,540.0,690.0,820.0,700.0,630.0,690.0,620.0,500.0,460.0,
440.0,460.0,540.0,690.0,820.0,700.0,630.0,690.0,620.0,500.0,460.0,350.0,
460.0,540.0,690.0,820.0,700.0,630.0,690.0,620.0,500.0,460.0,350.0,160.0,
540.0,690.0,820.0,700.0,630.0,690.0,620.0,500.0,460.0,350.0,160.0,220.0,
690.0,820.0,700.0,630.0,690.0,620.0,500.0,460.0,350.0,160.0,220.0,150.0,
820.0,700.0,630.0,690.0,620.0,500.0,460.0,350.0,160.0,220.0,150.0,60.0,
700.0,630.0,690.0,620.0,500.0,460.0,350.0,160.0,220.0,150.0,60.0,30.0,
630.0,690.0,620.0,500.0,460.0,350.0,160.0,220.0,150.0,60.0,30.0,20.0,
690.0,620.0,500.0,460.0,350.0,160.0,220.0,150.0,60.0,30.0,20.0,120.0,
620.0,500.0,460.0,350.0,160.0,220.0,150.0,60.0,30.0,20.0,120.0,220.0,
500.0,460.0,350.0,160.0,220.0,150.0,60.0,30.0,20.0,120.0,220.0,360.0,
