iteration,trainLoss,trainRMSE-avg
0,304873.66,552.15
10,173185.11,416.14
20,151655.55,389.42
30,132209.08,363.59
40,115282.445,339.52
50,100846.61,317.55
60,88670.625,297.77
70,79145.44,281.32
80,72143.664,268.59
90,66221.49,257.28
100,63010.242,250.92
110,61031.285,246.84
120,59569.54,243.77
130,58616.273,241.76
140,57755.445,239.91
150,57217.676,238.78
160,57551.355,239.53
170,56613.426,237.48
180,55915.05,235.93
190,55161.91,234.33
200,53644.977,231.29
210,52614.934,228.92
220,52714.49,229.08
230,53180.29,229.92
240,51590.35,226.52
250,50827.375,224.76
260,51589.4,226.58
270,51180.02,225.64
280,49811.758,222.46
290,48955.965,220.73
300,50167.098,223.25
310,49010.83,220.59
320,49791.69,222.06
330,49223.406,220.98
340,48247.566,218.66
350,48410.76,219.09
360,46817.156,215.53
370,48670.62,219.34
380,49465.805,221.36
390,47194.668,216.24
400,47853.34,217.7
410,46617.91,214.84
420,48064.383,218.25
430,46894.82,215.54
440,46375.402,214.23
450,47916.39,217.94
460,45840.996,213.14
470,46604.145,214.94
480,45642.594,212.53
490,43649.52,207.99
500,43034.184,206.64
510,42148.49,204.45
520,43214.97,206.94
530,42897.066,206.03
540,41229.223,202.22
550,41430.215,202.79
560,40889.34,201.18
570,44053.656,208.75
580,41916.316,203.79
590,40747.613,201.11
600,41868.91,203.51
610,40524.492,200.5
620,39335.82,197.66
630,39295.6,197.48
640,40400.445,200.15
650,39441.97,197.82
660,38562.1,195.66
670,38285.008,195.01
680,38560.88,195.75
690,38999.375,196.72
700,38141.742,194.68
710,37027.277,191.8
720,37574.348,193.19
730,39876.406,198.76
740,38255.387,194.87
750,38853.32,196.32
760,38935.785,196.45
770,36861.02,191.22
780,36664.723,190.83
790,37690.863,193.34
800,35682.973,188.24
810,35797.918,188.57
820,35934.844,188.9
830,35148.094,186.86
840,35889.465,188.7
850,35244.42,187.04
860,35174.89,186.93
870,35781.297,188.46
880,35297.953,187.2
890,34302.633,184.68
900,34130.617,184.2
910,33337.816,182.04
920,32467.383,179.78
930,34358.062,184.78
940,32836.19,180.75
950,34506.95,185.08
960,31996.527,178.5
970,33602.312,182.77
980,34268.508,184.05
990,32800.758,180.62
