0,trainLoss,trainRMSE-avg,testRMSE-avg
1,172607.3,160.1565,152.6291
2,138428.99,160.1473,152.6141
3,111065.04,160.1469,152.6216
4,89877.0,160.1475,152.6444
5,74514.49,160.1477,152.6576
6,65055.38,160.1493,152.6767
7,60868.98,160.151,152.697
8,59550.36,160.1517,152.6839
9,59158.22,160.1534,152.6638
