0,trainLoss,trainRMSE-avg,testRMSE-avg
1,318557.01,288.391,249.5364
2,255574.12,288.3996,249.3552
3,240955.57,288.4149,249.2589
4,232594.73,288.4161,249.2392
5,227524.0,288.4192,249.2875
6,224462.48,288.4244,249.2554
7,222535.51,288.4242,249.2503
8,221358.39,288.42,249.2715
9,220620.96,288.4146,249.3182
