iteration,trainRMSE
0,"[673.8074415588565, 673.7482601614072, 673.67524014293, 673.6114493810137, 673.5414493574772, 673.4578609823532, 673.3339973387597, 673.2306585493448, 673.057744947334, 672.2634587820347, 671.3317704245837, 671.2107552273606]"
100,"[381.2123432992063, 381.03338635689454, 381.0224822421054, 381.0322823382517, 381.0561015517927, 381.0772831003913, 381.0987796539177, 381.099171957181, 381.1094289663148, 380.4980342489361, 379.69762213900776, 379.7170119550831]"
200,"[359.3453817613994, 360.3550740466119, 362.02390948871573, 363.79454189641103, 364.9086425427368, 365.7298378308935, 366.3801162117138, 366.8409591597562, 367.254742834222, 366.7694961631119, 366.1325292220058, 366.44712823640083]"
300,"[344.1742070711022, 343.17453701500807, 339.66564120966865, 335.2797350327893, 331.52841636837246, 329.39310103831673, 329.08468010323367, 330.28650765256145, 333.16793843377116, 336.61285219398746, 340.8033963384909, 346.2186451829464]"
400,"[325.1266106592964, 323.0251572265128, 321.5305065018145, 318.9923669176959, 314.3733340506715, 312.56148883814, 314.13671987157403, 316.67009788836634, 320.82931719621024, 325.3654056113372, 330.8728415395226, 338.10277938907007]"
500,"[273.3056079245349, 276.7376291509723, 279.7477577638125, 283.6066106467734, 285.77263479061867, 289.5241123469863, 294.2218765179309, 299.70625360997064, 301.5379956177163, 298.25060068607644, 297.6603000874489, 302.4126579103161]"
600,"[264.77592878266404, 265.51823145522167, 275.2417524742053, 280.83354514694247, 282.4205698529789, 286.3248764471202, 286.14601681471936, 286.169275608449, 289.48417580345387, 295.9673441292767, 299.7481097651228, 307.0301372874583]"
700,"[247.23882825658623, 257.22247060729813, 267.3639726143541, 274.3771190162691, 276.4858960839137, 285.9930937926204, 291.26458790342286, 291.3089212214453, 288.4983662262673, 286.96836015458643, 287.9395783708126, 290.88171814053726]"
800,"[235.12616017682745, 242.3044862034537, 247.64436932648871, 254.2411769117523, 255.79949770661437, 261.44450802999665, 265.4232615015292, 266.89795988315035, 269.07559056256133, 268.1559515970766, 268.1948863103921, 269.80246416621355]"
900,"[233.85998868870948, 238.6152591880902, 245.00243125639096, 249.5297218501417, 247.1538224571332, 253.13706935231437, 257.02772011279217, 258.0702300092929, 258.3532084930519, 257.9506607457303, 258.92303335890733, 263.715818313342]"
1000,"[228.1579547811548, 234.4725192955152, 243.18617872827946, 248.29666233290644, 246.47429801440174, 249.53687033066856, 255.90740784795568, 257.0721936084374, 257.00919289133424, 258.29756217835023, 262.25141752215296, 269.17367886207376]"
1100,"[232.7311880409432, 235.49780889110778, 240.72411798023003, 249.12364649979682, 251.58104976089732, 253.89494003214466, 255.17370694395348, 253.36273521940885, 250.60158589657996, 250.40470622453356, 253.21596322632, 260.35343714720364]"
1200,"[226.64952861074502, 230.75677674185155, 234.8589739844181, 236.72929038049008, 234.70200638013432, 236.84495035721554, 239.86974301210313, 240.13328091375777, 239.97596543197935, 239.52383585895782, 241.18850569155632, 242.8268431942126]"
1300,"[222.85543106952713, 225.00473147362334, 228.1288765375192, 229.4013401601196, 230.8138476807662, 231.88572382539596, 232.92977180252547, 234.0141590281269, 234.7465480661142, 234.47213070306483, 235.11919498048988, 241.15418465321557]"
1400,"[223.81349458929765, 227.51083515031863, 233.40402959580518, 234.29275475886737, 236.46445609469336, 233.76258336057793, 233.3314202874665, 235.61668575633263, 238.95400104971722, 240.57646996712853, 242.60593094268467, 245.45353237813117]"
1500,"[226.67062966018597, 228.26381626119448, 234.2397264595106, 241.1709795308256, 243.09111180810717, 249.37172926624123, 256.0599045450845, 256.61442556167685, 256.14684960814407, 256.66553156949726, 257.3495449523811, 262.4125380818365]"
1600,"[225.212623753076, 227.07552834602902, 229.7927949945088, 230.6401834774352, 229.8123323003548, 234.9765026597409, 234.5886630944804, 231.3117876845878, 231.5102518069987, 229.92342032410997, 231.5252459613165, 236.90378908009777]"
1700,"[220.21503343504995, 223.2691021137127, 227.60539803848408, 231.01690734063615, 230.49200811963806, 231.2164723533515, 233.46365460289002, 234.3086075639753, 234.3580753337641, 232.65466713363946, 232.34450405364788, 233.74107383403148]"
1800,"[218.62604911643336, 219.36424935456319, 220.29706467753144, 221.7871341663844, 221.06009482987565, 220.79916787234222, 221.426316776473, 221.37621199719612, 221.58018617790805, 221.80148992264532, 221.44369672041574, 223.7681326712742]"
1900,"[216.33740217500335, 215.75395115121594, 215.7963106841934, 216.29759017743646, 215.58114912508753, 215.0997623102851, 216.59594059703923, 216.4410511066551, 216.13413130938466, 216.67312014991072, 214.14146979871188, 219.6337145604399]"
2000,"[219.0514501759629, 220.50485733314963, 224.8795005517014, 221.03212008558998, 222.67481350459488, 221.34146989878283, 221.5648804601818, 220.88026394068422, 221.94544472839908, 223.91301700651795, 223.14155251976158, 228.13337258451088]"
2100,"[217.1505360026558, 215.77522755147206, 219.1912319508626, 219.3734912102806, 214.1061393440687, 214.35028008114213, 214.19486993855188, 214.36723319159415, 214.5778977008661, 215.76416976460655, 215.01016994190994, 218.12589752167347]"
2200,"[221.6191047490497, 222.37453307958907, 229.07637053759217, 229.50642353981237, 227.75296853545143, 229.04241926511438, 233.68131777727967, 230.4672388466345, 231.4845509971108, 229.493926830522, 231.59520006893834, 239.8233222851706]"
2300,"[214.97276956728865, 221.93256662480792, 226.3636389127537, 225.38523924305088, 219.74388858391055, 221.45696642846542, 221.60729698476345, 215.8904860975262, 217.3637440274598, 218.26192501942828, 218.70056871853467, 225.79277988922183]"
2400,"[217.5215905162571, 220.13136788712995, 230.66968824566342, 239.19777140677576, 238.58240013947463, 237.33269756110127, 239.27763066725987, 236.6937405877887, 237.53346638997112, 238.5573730932392, 235.52032965418096, 231.55632717628453]"
2500,"[213.21615554984427, 210.7944466072711, 209.61383944372974, 210.1577716637282, 207.96824684808666, 208.37329345904195, 207.16445013213874, 205.96548141066881, 203.2393681881549, 203.31817687897504, 200.34278527197117, 201.98757758037505]"
2600,"[212.28535319939496, 212.6841785120211, 214.06802193162787, 210.61395997375624, 207.9308149396802, 208.65748173890725, 207.6218650683358, 202.42199024828693, 204.6944691704198, 208.1680587054957, 207.05290695527677, 210.15675113818278]"
2700,"[209.82248642056496, 206.15338486501457, 203.3114190573124, 201.55114976221552, 197.82601441173355, 197.5120539469607, 196.19153609375047, 191.50661753244538, 193.69047620008593, 192.2781205620461, 190.90379429204216, 190.76225691109684]"
2800,"[215.46290475702253, 224.16101243625818, 231.77899181378993, 226.79482218463934, 226.17062480098048, 230.06307153676195, 227.47733168864886, 221.83772058260251, 219.36089003677384, 218.4097952128932, 214.7880055851269, 217.64685740161042]"
2900,"[209.64112321622025, 207.1949268498435, 204.3506292531284, 205.11456636926133, 201.572595495444, 201.44033843544676, 202.8021899093383, 196.82550559913184, 199.1962473195058, 198.1670124070933, 196.56662348045188, 198.84262760292702]"
3000,"[209.779035133881, 203.54762677552137, 199.9995607545027, 195.34478673070788, 194.49598694448855, 195.72395192944143, 193.12405414872427, 189.36946847308303, 189.0039060287988, 190.69372174893908, 185.20977242110322, 187.6053619136363]"
3100,"[209.56839022957163, 203.81154091178317, 198.72755729093385, 198.00347791505496, 196.06820902354127, 197.21852691766364, 195.1521422666205, 191.13419072093924, 193.41043180968214, 189.85085709513706, 188.03881697983383, 191.53616854528542]"
3200,"[208.84680999303436, 202.328696705942, 199.35967501713048, 196.2143424256267, 193.74377832354008, 195.76668754461642, 195.66175230444784, 188.0436351372184, 191.9887169356159, 191.40965000914383, 186.6437340121811, 194.9140127152453]"
3300,"[220.37413386737046, 220.0970061741452, 222.90102886495632, 224.95201624752517, 220.58814689033383, 222.17088051914428, 221.6818844157338, 220.1098674345524, 221.62874735118783, 222.6076158767256, 224.49980227510153, 229.72975668759472]"
3400,"[211.64497898011865, 209.71159627067502, 211.10485158577055, 213.12025789063478, 212.365117634696, 215.27852406131544, 214.41756201461354, 209.6293984417215, 208.722538656067, 211.28237689782165, 210.43373766341804, 214.86810974252958]"
3500,"[206.48345333389702, 204.25618861095936, 200.01093203941375, 200.85879151683457, 198.71085625733977, 201.31445442764377, 201.33211576464572, 194.84613728167082, 200.1035053119819, 199.7439714751018, 198.899404339577, 202.37099107819938]"
3600,"[206.61891536279515, 198.34327971881618, 196.94726600352612, 195.1958472928529, 194.77385729405842, 198.39620889611243, 201.73381860001746, 198.45864373859018, 206.33511822191292, 208.07943013369717, 210.9736540259644, 212.49672371071415]"
3700,"[207.48380929734068, 197.7361478322358, 197.68148227307682, 195.57322178137395, 193.43522116642714, 196.4237055435381, 194.38268432870385, 188.08090711682868, 195.72234370658907, 195.36807854317357, 195.73359792393293, 191.28308710363916]"
