iteration,trainLoss,trainRMSE-avg
0,303743.8,551.13
10,164510.86,404.13
20,136288.7,366.81
30,114904.11,335.83
40,99231.75,311.09
50,89674.98,295.21
60,84477.98,286.66
70,81612.75,281.79
80,80132.8,279.28
90,76987.23,273.55
100,74618.72,269.06
110,72141.62,264.52
120,70669.2,261.69
130,68761.74,258.21
140,68484.13,258.03
150,69075.78,259.31
160,67237.76,255.7
170,64502.51,250.23
180,63232.754,247.81
190,62426.63,246.27
200,62131.168,246.07
210,59809.496,241.32
220,58294.934,238.09
230,58459.176,238.47
240,61252.49,244.88
250,58874.0,239.56
260,55762.07,232.76
270,57487.188,236.6
280,56163.113,233.71
290,55381.98,232.21
300,55551.816,232.51
310,56556.902,235.13
320,56193.055,234.47
330,54446.965,230.82
340,53115.453,227.99
350,51226.99,223.95
360,51708.62,225.13
370,54018.156,230.35
380,52891.39,227.95
390,51712.223,225.19
400,51280.086,224.31
410,51162.723,224.23
420,48726.746,218.55
430,47851.523,216.4
440,47416.402,215.51
450,51562.74,224.84
460,49042.133,219.41
470,54291.453,231.26
480,54228.684,230.99
490,49392.164,220.19
500,49311.074,220.07
510,48198.18,217.59
520,44990.6,209.8
530,50237.336,222.2
540,47560.656,215.95
550,47978.098,217.07
560,53797.39,230.29
570,49588.684,220.82
580,47499.566,216.0
590,49996.875,221.92
600,45723.06,211.69
610,53141.844,229.05
620,50583.62,223.14
630,47251.066,215.43
640,46210.723,213.25
650,47883.83,217.02
660,47069.11,215.07
670,51363.883,224.74
680,55514.414,234.28
690,46624.074,214.57
700,46564.816,214.2
710,53854.363,230.7
720,46601.477,214.35
730,46968.203,215.31
740,52301.98,227.55
750,47847.555,217.26
760,47356.797,216.25
770,42069.996,203.43
780,42582.496,204.7
790,48637.203,219.41
800,43939.223,207.96
810,55816.32,235.17
820,50634.58,223.86
830,50107.516,222.65
840,49987.566,222.16
850,47673.734,217.12
860,57416.367,238.37
870,48357.445,218.45
880,45495.863,212.01
890,42381.87,204.43
900,46423.293,214.25
910,44416.496,209.45
920,48590.32,219.14
930,42082.62,203.75
940,40782.81,200.82
950,38538.83,194.96
960,39938.09,198.49
970,40937.645,200.93
980,38212.438,194.16
990,39793.5,198.34
