iteration,trainRMSE
0,"[61.5637932940728, 57.20751590369608, 57.63154819791912, 58.09514878103543, 58.68452264153119, 59.32212748061634, 59.998042465549204, 60.538608613835834, 60.94176317517214, 61.15083762305521, 61.22935891006637, 61.27928240199109]"
10,"[21.284282748966486, 24.26358280604856, 25.808075384444788, 26.970117579248043, 27.797043628616127, 28.164335931371493, 28.233272252032897, 28.27041845937755, 28.282973442024264, 28.286487912619627, 28.262243858656188, 28.246310961203257]"
20,"[20.867332184830534, 23.543938817862973, 24.97981287495642, 26.057487662794934, 26.61197282461868, 26.83337683310953, 26.894144100009264, 26.93209016360166, 27.002598617339626, 27.11796997816523, 27.21482490807137, 27.296656073755884]"
30,"[20.451466246819596, 22.833941323552224, 24.092180236312355, 25.110560836832924, 25.616783846027328, 25.953661602312042, 26.15872947781378, 26.432747229043443, 26.76972323148786, 27.047106264011088, 27.192204293579486, 27.418703026138804]"
40,"[19.883163175435918, 22.235086698707757, 23.3356503880588, 24.12170355719231, 24.670179936482825, 25.01295713876379, 25.355957263454634, 25.85342129470526, 26.38735679193234, 26.838970880309095, 27.214522071858866, 27.454184219616987]"
50,"[19.88932214347625, 22.129002163981518, 22.99873797570138, 23.66114930193656, 24.180819320069933, 24.643138667816984, 25.05676534795405, 25.54065805715589, 25.98953140259189, 26.419385880257327, 26.79809757628181, 26.99699514045274]"
60,"[19.817757027068225, 21.939849823975436, 22.574570754507633, 22.802314309537977, 23.221098593857747, 23.857441425017026, 24.4550980789839, 24.955725534357327, 25.296331680424856, 25.858974502806166, 26.181075008944084, 26.389766596664327]"
70,"[19.624125876682605, 21.817151534710792, 22.59993061317987, 22.97460424355734, 23.451373101935605, 23.976030338339854, 24.32519990633256, 24.602200830546597, 24.864503757515855, 25.310693574366784, 25.640021860562417, 25.867338101888517]"
80,"[19.508641898354877, 21.61987879893588, 22.2485739447906, 22.496375121093084, 22.942170729671417, 23.509302775217485, 23.955425169012887, 24.39566454486149, 24.76778004560894, 25.254789095964686, 25.63215664599168, 25.91591781356136]"
90,"[19.66241909341538, 21.62334776746641, 22.00518009340057, 22.512056042669933, 23.23751192822165, 23.94279245758767, 24.34293798509026, 24.77005269291635, 25.09771381640412, 25.550960775145583, 25.990230681387562, 26.631651692143812]"
100,"[19.518212948013637, 21.36349321732775, 22.065544273161127, 22.422943772264237, 22.89461037361302, 23.409411410584294, 23.69242793709128, 24.050086676406607, 24.56801918490779, 25.236864108973, 25.562267267758312, 25.87931802556341]"
110,"[19.56199053136847, 21.320061642404276, 21.772891446271643, 21.913228046383686, 22.2617793995759, 22.775640861223255, 23.063229127134235, 23.328153252953758, 23.707831521886412, 24.40377231993001, 24.898315662968997, 25.29267831616573]"
120,"[19.19520049726602, 20.839103691617094, 21.319096083172656, 21.70724415049533, 22.2624452363401, 22.64190153569112, 22.613888134407066, 22.760305654751615, 23.012081668972424, 23.527237337333297, 24.102893544033, 24.852707941124933]"
130,"[19.26585768966977, 21.12273486145818, 21.945884139773153, 22.657879355348783, 23.33271913337008, 23.864879552980693, 24.040066618466764, 24.284716586898483, 24.679267328747287, 25.20042246141465, 25.479778774582986, 25.845600832708595]"
140,"[19.022524233834172, 20.62502157480804, 21.262313822564753, 21.62381721760104, 22.068404892034934, 22.331982241470673, 22.07476953835811, 22.006111797547533, 22.19602252721296, 22.696972447756398, 23.23508004288516, 24.3140696327535]"
150,"[19.11639285889959, 20.644669051561408, 21.082940685818855, 21.392640040932964, 22.005155893873233, 22.647062355819052, 22.85630298056564, 22.870705916850827, 23.086260793291785, 23.431257110030167, 23.847504304098983, 24.676489432077314]"
160,"[18.93292432710817, 20.485221818630812, 20.892853581267495, 21.106514001746227, 21.524281035372482, 21.83586532538114, 21.661417366998737, 21.742030145902486, 21.959722592433963, 22.388938823841283, 22.92862096925453, 23.868151195258164]"
170,"[18.941046694953105, 20.383025852354404, 20.58800997527012, 20.55275746099354, 20.9368185350196, 21.044962818443445, 20.83488066830682, 20.578840552357494, 20.738067367855887, 21.195263870205867, 21.61491638137286, 22.619257502395055]"
180,"[18.740768708557, 19.938571641989178, 20.175765666431943, 20.3028069124161, 20.732682447608134, 20.873252450188446, 20.564527944970152, 20.454015076377416, 20.649052739674747, 21.30250241721694, 22.035011293565336, 23.047476367589507]"
190,"[18.74187673353934, 20.08388430626513, 20.209965412427238, 19.92165816891391, 19.923270522655375, 19.948971832373942, 19.94859236932737, 19.84303130136258, 20.000108568821123, 20.610346015883373, 21.14893133023116, 21.800866217440625]"
200,"[18.335808599591054, 19.453062770939233, 19.46431354583235, 19.392936040477142, 19.779028809536033, 19.820836229577257, 19.65123107840241, 19.54776205666113, 19.5038468406895, 19.82775348027803, 20.27966588811217, 21.49041314481692]"
210,"[18.289460210009846, 19.176119017378923, 19.017374719882646, 18.868717130081478, 19.084020527881723, 19.14543030935105, 18.92150182030619, 18.886444950661964, 19.043215673370366, 19.67563304501557, 20.285839737747008, 21.626446638796608]"
220,"[18.225217413076564, 18.897435971706614, 18.605336495004174, 18.424515117943, 18.670512279716597, 18.79940358232585, 18.63615198381991, 18.62349494569668, 18.745937563936078, 19.11632256016822, 19.5192955665921, 20.63562281727443]"
230,"[17.978532378376894, 18.669374662732096, 18.45865627425026, 18.30292611704583, 18.380513826098657, 18.41763293023373, 18.236604578017737, 18.11332899938977, 18.22136802190739, 18.5935608828617, 19.149871812390334, 20.37437830467164]"
240,"[17.892015031040064, 18.308886208794693, 17.833936502057472, 17.889457596947828, 17.894142701595623, 17.907904318151054, 17.798751263516543, 17.91700023569512, 17.95067796856421, 18.10474689588404, 18.533420872882623, 19.69253667611366]"
250,"[17.766677068498915, 18.18921182201903, 17.821953899806026, 17.70607793716911, 17.661473181522005, 17.787176591940355, 17.864911497791258, 17.880078105919385, 18.17586446841712, 18.512327172519406, 18.84270608661296, 19.988765541963268]"
260,"[17.626819355241537, 17.93234785427748, 17.506869427696955, 17.13953353702471, 17.33441219293655, 17.3511405930352, 17.247509365221326, 17.0603894374223, 17.193792738947753, 17.571504070032784, 17.950334064251628, 19.2011875033318]"
270,"[17.381343994867418, 17.47738039471565, 17.01082688431785, 16.864544825693418, 16.77842110120887, 16.840652383125445, 16.67636239915232, 16.689032447279242, 16.793193991523456, 16.952977285744282, 17.458343998369504, 18.506672410625782]"
280,"[17.315274739806714, 17.324082648125394, 16.871473395049318, 16.839232142159076, 16.75451925030747, 16.800955517056693, 16.716925275190416, 16.787923231802928, 16.756799607136468, 17.03896293530827, 17.379407412373354, 18.219512629600228]"
290,"[17.081320884164647, 16.88100605992809, 16.313412519411212, 16.117301707240774, 16.069677458227368, 15.99326165155925, 16.04284095844551, 15.893757255560455, 15.986919215022688, 16.221245623799753, 16.753453686908454, 18.028355975193637]"
300,"[17.23082696229807, 17.587131027536135, 17.275438288657384, 16.987150519644057, 16.98482323275566, 17.067763817943014, 17.132548632571662, 17.04928842245397, 17.099045516256155, 17.685878122359142, 17.93473056057384, 18.649838901754844]"
310,"[16.847620858133318, 16.672160056986364, 16.074146417017538, 15.76760278099085, 15.750456239704315, 15.810514938950316, 15.915524241094241, 15.879505349909921, 15.976117951650432, 16.392031163576586, 16.825564757328063, 17.89134056539941]"
320,"[16.991552541765152, 16.76058980999423, 16.262477134487128, 16.088265673645697, 16.133758331596262, 16.250113900467188, 16.333978936740476, 16.29074455102891, 16.450447605777615, 16.821918875584057, 16.909637329596816, 17.77218586260314]"
330,"[16.628296867860445, 16.36906120211591, 15.833687740818707, 15.673287162544376, 15.709173679000237, 15.946331461410315, 16.00807140283255, 15.790184247152562, 15.882536475415623, 16.11904440738106, 16.372695365979464, 17.27970571965187]"
340,"[16.46678788306056, 16.078485235001708, 15.501602867852444, 15.080095311405039, 14.988056790290191, 15.100658417815364, 15.273317531035353, 15.454322850046356, 15.720471191878058, 15.860562595388453, 16.07240748284786, 16.9812567874229]"
350,"[16.36867575501152, 15.933477914022681, 15.502219233499012, 15.09791468585687, 14.931309337234163, 14.970431302142911, 15.274498166803921, 15.25535715746863, 15.239026246302954, 15.497657481225007, 15.543095727780651, 16.247990263614206]"
360,"[16.229241900308, 15.932198921389686, 15.333378689339021, 15.078625388916544, 14.940231867643346, 15.119567129923826, 15.418288886535082, 15.504271106604087, 15.611341994035794, 15.826036034826933, 15.848421054050123, 16.55438509983664]"
370,"[16.181081748026727, 15.562891652546105, 15.023861797933812, 14.646624772227364, 14.425609589445115, 14.54814597385262, 14.823343758520238, 14.96483883581064, 14.762534119619856, 14.869166581967004, 15.047549351152831, 15.83586042453795]"
380,"[16.011584310546095, 15.370865291708682, 14.859027730887185, 14.77356664785009, 14.701744631099096, 15.084607034307986, 15.540873312588705, 15.719300817816201, 15.68239546587398, 16.004490052637294, 16.130568561700812, 16.928041031116866]"
390,"[15.972661119044407, 15.306289928631788, 14.79635497947746, 14.271686059216549, 13.981703653880963, 14.05945145361677, 14.241209200396003, 14.396579535917308, 14.343099448238984, 14.486089099705097, 14.775634132210811, 15.5662784521265]"
400,"[15.913774554112194, 15.135390075247091, 14.591644698881103, 13.973035007460373, 13.719310382799822, 13.717765971012854, 13.918112130937187, 13.928134231145128, 13.94509012090608, 14.196083965263758, 14.162162412385447, 14.935181677170497]"
410,"[15.779020594327879, 15.15393838660878, 14.752318423747324, 14.24047674578773, 13.917672528785294, 13.8676307547641, 14.130847287856064, 14.280950148897201, 14.420278501037581, 14.772597832371128, 15.03346304408948, 15.891352488993595]"
420,"[15.67640415866327, 15.043110965631707, 14.781929091232346, 14.673745663185413, 14.439778895006217, 14.488448913046948, 14.698138205757873, 14.862656622792544, 14.830350911983011, 15.186943534100758, 15.127967462204596, 15.73271739306701]"
430,"[15.552013618766791, 14.861276567620859, 14.33743346852568, 13.754099195965852, 13.607599717205334, 13.691566435752751, 14.032717172461503, 14.037490682372798, 14.059751086950946, 14.041417262525972, 14.039577961157631, 14.45042952323781]"
440,"[15.337056629944403, 14.439923794887848, 13.909518744616886, 13.475595502650371, 13.268059839393867, 13.017711134136901, 13.164496835126114, 13.067954175773115, 13.007678952106023, 13.144182154432647, 13.110129698357817, 14.1327616493721]"
450,"[15.172039568027667, 14.202358834668706, 13.67111416968311, 13.200400915148451, 12.909272088806276, 12.817898517111582, 12.901590007180314, 12.8801628311394, 12.975116749941465, 13.067792505848903, 13.294840268613468, 14.069468111552096]"
460,"[15.28307117990446, 14.640113483207777, 13.980139761441684, 13.641204465492201, 13.41391952941803, 13.365475874889551, 13.759485415511714, 13.745976342008984, 13.722041776108965, 13.900984073417003, 14.281606941561817, 15.065739182788318]"
470,"[15.182508468602592, 14.356882221864552, 13.869801215955532, 13.691482132879015, 13.856817640862575, 13.964721167090012, 14.18646624745517, 14.249379691497078, 14.005439911859716, 14.243854207356213, 14.196144675865208, 14.637283422868853]"
480,"[14.83121884353457, 13.836858275465652, 13.408036274503488, 13.002458996274004, 12.85908603671805, 12.718793439002324, 12.799479208988576, 12.775003792634244, 12.667458669203716, 12.760655709707152, 13.118495624804295, 14.028010149089038]"
490,"[14.673412464318961, 13.56384194079058, 13.096496433242875, 12.620713978782623, 12.468249339023089, 12.22655853750092, 12.367007259306716, 12.276719261492467, 12.074953253070616, 12.156878073359549, 12.080671588125941, 12.73515383971563]"
500,"[14.424241773070573, 13.36987438467946, 12.867408125120782, 12.561935362794909, 12.455300148177292, 12.24834239586589, 12.249938949620347, 12.277104004773623, 12.209933527882209, 12.14771850845733, 12.217481176797056, 12.784205001445802]"
510,"[14.46903734298664, 13.440186330743343, 13.046416068941674, 12.523782760822673, 12.271467044904174, 12.085169578923537, 12.226590570661243, 12.103161512948288, 12.034144380470297, 12.05505317744208, 12.320322147349403, 12.977827817167608]"
520,"[14.178616999678603, 13.100960716865227, 12.525835256101718, 12.00287569979291, 11.65838157602813, 11.390561353423251, 11.377323947402141, 11.179864457487819, 11.00003033463667, 10.952259207411192, 11.105231597059158, 11.589797508471126]"
530,"[14.117683729333459, 13.299902584430251, 12.573705319022128, 11.97696292037458, 11.687934282390529, 11.34433027089481, 11.258916409913663, 11.256098280873024, 11.213804612468355, 11.237306365005235, 11.168716487364279, 11.515687227953618]"
540,"[14.012161999212271, 13.047104008022766, 12.36344519494717, 11.817522240102745, 11.664203679820499, 11.286432073110136, 11.301664381057304, 11.295899761439106, 11.427123347203608, 11.434787384292221, 11.542157098518947, 12.056790920866336]"
550,"[13.901794054868137, 12.957790359870101, 12.78724533489125, 12.450368704223752, 11.822742491899959, 11.61658633263499, 11.927775046183996, 12.181756015115427, 12.224270065227742, 12.366945656434028, 12.443659681308917, 12.778977679463505]"
560,"[13.747508608532364, 12.788034853779596, 12.209724097860187, 11.758452688845006, 11.457646246705318, 11.20681939077022, 11.334442994050029, 11.21992127690179, 11.309042530135732, 11.579994235622365, 11.654724160563593, 12.203306838915788]"
570,"[13.690920226280808, 12.652963283962633, 11.935622071023904, 11.307127129473406, 11.017323541495161, 10.772536414635201, 10.674478944856807, 10.490915388456225, 10.515425930753327, 10.575079087639596, 10.533526161022435, 10.847255814279158]"
580,"[13.380680862283963, 12.219013435982447, 11.501792394563736, 10.996141080208744, 10.812756613269384, 10.395939171683773, 10.287952788563, 10.073476250176709, 10.05797611650128, 10.140346477311187, 9.996443990665913, 10.494617831227293]"
590,"[13.524829815287234, 12.25640193284754, 11.536606179646034, 11.038037071508917, 10.729862794350126, 10.199742098518902, 10.188315005067142, 9.962303488580226, 9.97422868545498, 10.00641882404112, 9.988796565463858, 10.545545051974948]"
600,"[13.18424002178885, 11.98794767090943, 11.298233325689408, 10.713767703254222, 10.530490768177465, 10.1118600405867, 10.088369511864354, 9.964873476141602, 10.039973491039175, 9.925617240396358, 10.04940571571577, 10.367766000043968]"
610,"[13.06923249159339, 11.859059418977175, 11.138138261029903, 10.552990051392518, 10.151286459474493, 9.768430677630244, 9.82872301283954, 9.700419021743535, 9.666139142226045, 9.775863128029595, 9.770620598355789, 9.943270556157447]"
620,"[12.707738344919392, 11.435964907161877, 10.72775235456285, 10.185461760183845, 9.79303042908767, 9.43651656500402, 9.37942553406588, 9.274800587298456, 9.297424756994436, 9.166449855611344, 9.106283833048975, 9.279649636212936]"
630,"[12.73808926558474, 11.571948955566432, 10.706113070878287, 10.17273845566344, 9.928589849445626, 9.56350510304241, 9.393327117656048, 9.180752399042095, 9.25135931158661, 9.30752484922819, 9.200122482363117, 9.557738052493296]"
640,"[12.888675316895103, 11.890471712787088, 11.173609867528047, 10.692386679296316, 10.38824763131324, 10.193213771531967, 10.306686920306744, 10.478664939821913, 10.916635843988118, 11.366203526812136, 11.510439598288869, 12.073264504978239]"
650,"[12.561771424951633, 11.23648407786016, 10.401440740761753, 9.731481931716036, 9.552449114854252, 9.19170171397406, 9.1300137587958, 8.94038724316794, 9.057876983092743, 9.152899737833797, 9.248677124315806, 9.499979414671362]"
660,"[12.848356826704563, 11.406435839779283, 10.753014519534693, 10.028519694949265, 9.818126218951193, 9.388586106133404, 9.316162508827501, 9.019952304682212, 9.292055307133353, 9.57843917199119, 9.544983432713419, 9.635499748546097]"
670,"[12.318816675819193, 11.049918065871942, 10.31176602133123, 9.615537053202118, 9.418512251334569, 9.223763498287806, 9.176772853890313, 8.948117099101855, 8.987165042756871, 8.94552348174732, 8.720149207847623, 8.844294952443368]"
680,"[12.054487341710198, 10.740395517606538, 9.719305615513182, 9.098413863602744, 8.884751753474806, 8.338271331334601, 8.256484017768425, 7.893437019641518, 8.027614869366587, 7.798119520696884, 7.919251261721197, 7.950913181250632]"
690,"[11.825872989485614, 10.788556034259013, 9.766136460403096, 9.108256517343442, 8.821195369854124, 8.414300131980244, 8.226841872123577, 7.981916822699919, 8.035300537556965, 7.988449298329812, 7.7382743213670375, 7.747641184567069]"
700,"[11.688746929970568, 10.421818279222432, 9.549458712800902, 8.905198710558714, 8.650574866403186, 8.09688065183568, 7.883274664194178, 7.424077821469045, 7.579147635402198, 7.576072193689572, 7.403120630750656, 7.522120168504615]"
710,"[11.527065826716132, 10.301047748092465, 9.447324140047174, 8.83963632659488, 8.498838887390097, 7.787464225545323, 7.5325193793585035, 7.276567165852373, 7.284484647834421, 7.157542164125846, 7.234418622340401, 7.4449793658673755]"
