0,trainLoss,trainRMSE-avg,testRMSE-avg
1,222419.32,257.3725,284.5721
2,209268.21,257.3085,284.5006
3,208914.64,257.2871,284.4009
4,208888.91,257.2621,284.3534
5,208872.29,257.2416,284.3393
6,208856.16,257.2656,284.3591
7,208840.42,257.2483,284.3059
8,208824.48,257.251,284.3506
9,208808.62,257.2429,284.3454
