0,trainLoss,trainRMSE-avg,testRMSE-avg
1,167338.49,177.2944,176.5544
2,105417.25,177.3368,176.3191
3,84824.66,177.3717,176.2769
4,79844.62,177.3857,176.2961
5,78383.69,177.3819,176.3126
6,77859.26,177.3826,176.3607
7,77638.02,177.3831,176.3366
8,77521.63,177.3818,176.401
9,77441.98,177.3811,176.3809
