0,trainLoss,trainRMSE-avg,testRMSE-avg
1,284034.79,272.3704,122.3848
2,252053.97,272.4175,122.6044
3,238024.43,272.4335,122.6423
4,230900.71,272.4402,122.6302
5,227139.78,272.407,122.5994
6,225129.26,272.4029,122.6089
7,224027.57,272.3841,122.5897
8,223414.88,272.3783,122.5793
9,223060.37,272.3795,122.5786
