0,trainLoss,trainRMSE-avg,testRMSE-avg
1,2250.54,23.0552,23.3391
2,1741.51,23.0552,23.3406
3,1634.3,23.0555,23.3423
4,1565.34,23.0556,23.344
5,1514.22,23.0555,23.3434
6,1474.29,23.0555,23.3448
7,1441.5,23.0555,23.3439
8,1413.54,23.0554,23.3483
9,1388.65,23.0552,23.3473
