iteration,trainLoss,trainRMSE-avg
0,66913.61,258.68
10,19968.078,141.27
20,16684.213,129.11
30,14994.075,122.3
40,14628.92,120.7
50,13524.057,116.07
60,13122.084,114.37
70,12472.34,111.54
80,12072.042,109.71
90,11823.655,108.57
100,11599.07,107.56
110,11816.117,108.51
120,11131.353,105.39
130,11279.613,106.06
140,11214.325,105.76
150,11000.248,104.76
160,11741.975,108.19
170,12088.968,109.75
180,11780.142,108.22
190,10137.312,100.61
200,9847.144,99.16
210,9650.747,98.17
220,9351.934,96.65
230,9078.677,95.22
240,8952.122,94.52
250,8471.821,92.01
260,10687.712,103.05
270,9084.461,95.25
280,8210.583,90.58
290,8404.994,91.6
300,8893.475,94.19
310,9114.041,95.32
320,8608.801,92.67
330,9377.322,96.56
340,8175.6313,90.32
350,8791.475,93.57
360,7769.567,88.09
370,8177.242,90.34
380,8204.187,90.48
390,7937.7812,89.03
400,6985.272,83.54
410,7523.364,86.69
420,6904.4766,83.06
430,6660.7954,81.59
440,7763.9526,88.01
450,7045.6323,83.86
460,6822.633,82.55
470,6484.874,80.47
480,9375.788,95.89
490,6470.5425,80.36
500,7013.334,83.52
510,7492.16,86.37
520,6569.208,80.98
530,6027.412,77.59
540,6084.359,77.97
550,6209.022,78.78
560,5626.5933,74.98
570,5875.5825,76.61
580,5977.3213,77.25
590,5990.6304,77.34
600,5891.574,76.66
610,5977.5723,77.27
620,5441.94,73.73
630,5381.2925,73.34
640,5736.081,75.65
650,5450.268,73.81
660,5351.0454,73.12
670,5595.8125,74.73
680,5298.396,72.76
690,5159.819,71.79
700,4944.8564,70.27
710,4763.218,68.99
720,4816.905,69.36
730,4832.7017,69.45
740,4787.7705,69.13
750,4537.816,67.33
760,4854.954,69.61
770,4553.082,67.43
780,4209.229,64.83
790,4709.4,68.6
800,4404.598,66.32
810,4184.2485,64.65
820,4102.9526,64.0
830,4025.5256,63.4
840,4032.4011,63.45
850,4201.041,64.77
860,4398.7983,66.3
870,3827.7827,61.8
880,3711.2808,60.85
890,3770.6982,61.34
900,4101.8506,63.99
910,3697.6533,60.73
920,3650.2903,60.34
930,3691.0818,60.69
940,3926.11,62.59
950,3831.4546,61.84
960,3572.0593,59.7
970,3686.7412,60.65
980,3481.2925,58.93
990,3314.3484,57.49
