0,trainLoss,trainRMSE-avg,testRMSE-avg
1,124309.31,136.524,177.7354
2,86034.75,136.5354,177.7338
3,64520.49,136.5856,177.6427
4,56780.67,136.6283,177.6538
5,54595.99,136.6278,177.6946
6,53869.17,136.6191,177.7529
7,53563.4,136.6135,177.7833
8,53402.6,136.6099,177.8078
9,53303.26,136.6076,177.8281
