iteration,trainLoss,trainRMSE-avg
0,144159.14,379.68
10,86878.266,294.53
20,81924.25,286.0
30,76552.3,276.47
40,69692.76,263.67
50,65969.31,256.42
60,64478.008,253.52
70,60570.285,245.65
80,58889.363,242.21
90,55675.24,235.53
100,54000.688,231.88
110,51958.645,227.43
120,50127.145,223.34
130,51165.406,225.76
140,52031.234,227.71
150,47547.266,217.52
160,45116.01,211.84
170,44365.33,210.08
180,49388.227,221.88
190,43261.785,207.45
200,43138.48,207.14
210,41950.695,204.24
220,42590.04,205.84
230,45810.164,213.61
240,40635.137,201.05
250,38166.074,194.7
260,38022.78,194.39
270,37240.062,192.34
280,37785.46,193.81
290,35711.75,188.28
300,35088.35,186.69
310,34409.676,184.81
320,32842.953,180.44
330,33425.777,182.17
340,31354.264,176.26
350,32501.697,179.61
360,33215.324,181.67
370,38723.26,196.44
380,31884.049,177.91
390,31449.926,176.69
400,30582.62,174.24
410,29396.342,170.65
420,28833.637,168.95
430,28326.016,167.39
440,27802.244,165.8
450,27518.152,164.99
460,26934.273,163.16
470,31775.799,177.84
480,27971.064,166.49
490,29065.219,169.81
500,27938.805,166.48
510,26040.164,160.35
520,26028.436,160.36
530,26172.22,160.88
540,27514.07,165.3
550,24727.588,156.21
560,24561.494,155.66
570,24359.28,155.05
580,23220.787,151.16
590,24799.533,156.61
600,24894.383,157.06
610,21974.21,146.9
620,27665.031,166.0
630,21940.559,146.78
640,21313.209,144.66
650,22534.479,149.19
660,22578.309,149.37
670,19610.938,138.28
680,20746.479,142.77
690,19623.506,138.44
700,22021.754,147.71
710,20125.354,140.34
720,20793.658,142.9
730,20973.064,143.9
740,19514.318,138.29
750,19543.115,138.44
760,18688.846,135.21
770,19093.896,136.78
780,18660.705,135.09
790,18369.314,133.93
800,19090.504,136.83
810,18664.139,135.26
820,17342.553,129.84
830,17355.443,130.06
840,16273.697,125.4
850,17662.229,131.34
860,16669.176,127.31
870,16212.659,125.37
880,16299.332,125.82
890,16849.148,128.13
900,15574.18,122.73
910,15557.763,122.61
920,14807.031,119.4
930,17355.162,130.32
940,14736.661,119.0
950,16249.174,125.87
960,16161.122,125.7
970,14966.563,120.35
980,15560.7295,122.91
990,14801.892,119.7
