0,trainLoss,trainRMSE-avg,testRMSE-avg
1,141511.58,183.889,145.4496
2,91489.72,183.893,145.4416
3,86352.39,183.8886,145.407
4,85280.56,183.8874,145.3368
5,84809.6,183.8895,145.3881
6,84475.37,183.8875,145.3471
7,84184.83,183.8876,145.3456
8,83903.77,183.8865,145.3824
9,83623.95,183.8881,145.421
