0,trainLoss,trainRMSE-avg,testRMSE-avg
1,129520.78,146.7751,185.027
2,81228.6,146.7762,185.0345
3,65613.37,146.7779,185.0211
4,63054.71,146.7768,185.0296
5,62553.3,146.7766,185.0275
6,62409.64,146.7755,185.0334
7,62349.29,146.7758,185.0089
8,62311.91,146.7772,185.0006
9,62281.64,146.7767,185.0194
