0,trainLoss,trainRMSE-avg,testRMSE-avg
1,28624.200000000001,178.3289,108.6661
2,23191.169999999998,177.82730000000001,113.1549
3,22765.299999999999,172.06790000000001,100.8173
4,22691.91,165.77279999999999,88.921499999999995
5,22674.07,161.38290000000001,81.144000000000005
6,22664.279999999999,159.95509999999999,78.234499999999997
7,22655.540000000001,159.89099999999999,78.069400000000002
8,22646.950000000001,159.8518,78.024100000000004
9,22638.490000000002,159.8553,78.049499999999995
