iteration,trainRMSE
280,"[255.5138378686385, 210.43121163958662, 206.75736662543932, 203.8270826405386, 200.9976964586011, 197.33141277229527, 193.38221596717315, 192.15846910805877, 193.67981867615148, 199.48972499417934, 209.73516549585233, 221.5885964552058]"
290,"[251.13062574642117, 202.09678746744146, 197.43161624725238, 193.67260805593747, 190.8819413654906, 188.94126911893824, 187.1869743256031, 186.30105545875708, 186.1033459166194, 191.20087644251637, 202.39858065342406, 216.95735908563813]"
300,"[248.52270885794647, 200.45554889708725, 191.9212491659036, 187.48074945806005, 187.0607904452944, 185.91811609629616, 183.9520350224282, 181.41918116976387, 180.39388287447755, 185.25911957050852, 197.76895300080096, 215.7527907702902]"
310,"[247.74445472953587, 196.6994321124689, 188.96695041902737, 186.41486273991225, 184.7556480599395, 184.068802778626, 183.99101445643697, 183.89137585153256, 183.12740765220872, 186.35685393249932, 196.3980500403598, 210.33645384131594]"
320,"[246.53066258241176, 194.9037531254344, 186.79966310671878, 184.6406978768097, 184.2527619635264, 185.84809400782643, 186.74503076812042, 186.02946247790825, 183.8052720339345, 183.73933494565324, 191.00214964236557, 204.347856764207]"
330,"[248.44543536555753, 193.09069658332965, 184.60801356757491, 183.00594953585298, 186.04160413782756, 188.5216143513827, 187.46515546539203, 183.39357030315654, 179.10719285865665, 179.01663000123156, 184.3926632052754, 193.29483486322005]"
340,"[246.5128744475863, 193.89555072261604, 188.3231422093173, 180.52185905910127, 178.34864172425003, 182.49188563353613, 189.46720184830875, 194.6217254211612, 193.53509348929333, 190.53150750881412, 192.17799048513243, 199.58790406996164]"
350,"[242.0391429637522, 188.5046031696615, 176.58639927290773, 171.72012108928664, 171.2681932237433, 173.80927679397064, 176.28480083458845, 178.54359720678298, 179.98052128054266, 184.1802817149023, 194.5267801866594, 207.9869610067339]"
360,"[236.0367635300052, 182.05220475070385, 172.97259431120744, 170.39866142233518, 170.88723582957542, 173.024594337997, 174.39566583508892, 173.69419737116007, 173.3064990420265, 176.29666461305584, 185.20667096521595, 198.0312662947287]"
370,"[234.6787528504349, 183.30535217294957, 181.29482265786987, 181.57892213597773, 178.48166916803024, 180.79650395638566, 187.9655626429531, 196.4614054746732, 205.40890159557813, 213.60036018778393, 217.300167770554, 212.79470868954047]"
